company_name,max_wages,min_wages,place,place2,education,treatment,requirement
嵌入式软件测试工程师 (职位编号：004),15000.0,8000.0,北京市石景山区京原路19号院4号楼十七层1703室,北京-石景山区,大专,无,【工作职责】：1.搭建测试环境，参与需求分析提取测试需求，制定测试计划，设计测试用例和测试数据，并有效执行测试用例，提交测试报告；2.完成嵌入式软件的黑盒测试、白盒测试；完成其他软件测试，包括功能测试，性能测试等。确保软件系统的质量；3.及时发现测试中的问题，准确地定位并跟踪问题，推动问题及时合理地解决；4.与系统开发等相关人员就测试的问题进行沟通，检查软件系统的完整性、正确性、易用性、安全性等，及时向上级汇报；5.整理相关的测试文档，完成领导交办的其它工作。【工作经验】：具有白盒相关嵌入式软件测试经验者或嵌入式软件开发经验者优先；【知识技能】：1.熟悉测试流程，测试理论和方法；2.熟悉C/C++/java中的一种或多种，了解Http、JavaScript、Css、B/S、C/S架构等；3.熟悉嵌入式Linux、Android、Win CE或其他嵌入式系统下的调试；4.了解常用工具如testbed、C++test、Jtest、fortify、代码审计工具中的一种或多种；5.参加过测试知识、技能培训的优先。【综合素质】：1.具有较强的独立分析解决问题能力；2.工作态度：责任心、耐心、细心、上进心；3.主动沟通意识强，踏实勤奋，做事情有自己的观点；4.良好的沟通表达和理解能力；5.有较强的学习能力和承受压力能力；6.能够制定合理的工作目标、工作计划，并能够有效的保障工作计划的执行、跟踪等工作。【岗位招聘说明】：1.岗位招聘对象：计算机、自动化、电子通信及相关学科，本科及以上学历；2.工作地点为：北京市石景山区京原路19号院4号楼十层1002室；3.公司缴纳五险一金；4.除基本工资外，还有绩效工资、年终奖、带薪年假病假、过节福利等。职能类别：软件测试工程师质量管理/测试工程师(QA/QC工程师)关键字：白盒测试静态测试testbedC++test代码审计代码审查微信分享
软件测试工程师,12000.0,8000.0,亦庄大族广场T2,北京-大兴区,本科,"五险一金,补充医疗保险,补充公积金,交通补贴,餐饮补贴,通讯补贴,年终奖金,绩效奖金,定期体检",岗位职责1、参与项目的需求分析，关注业务逻辑与设计的合理性；2、熟悉软件测试的理论知识，根据项目需求、UI原型，独立完成测试用例编写；3、建立并优化测试过程，提升测试效率和产品质量；4、独立搭建自动化测试环境，编写和维护自动化测试脚本；5、搭建性能测试环境，编写和维护性能测试脚本，协助研发评估系统性能任职资格1、三年以上软件测试经验，熟悉B/S架构； 2、熟悉Linux、MySql基本操作； 3、熟悉软件测试方法和流程，熟练使用缺陷管理工具和测试工具； 4、熟悉自动化的工具、方法；熟悉测试工具selenium等 5、熟悉性能测试，熟练使用Jmeter、LR等工具 6、较强的学习、沟通协调能力、独立分析问题和解决问题的能力职能类别：软件测试工程师关键字：seleniumB/S架构性能测试自动化测试微信分享
软件测试工程师,12000.0,6000.0,天骥智谷60号楼,北京,大专,"五险一金,弹性工作,绩效奖金",岗位职责：1.参与软件产品的需求分析，负责测试计划和测试方案的制定，预先评估项目的风险并能提出有效规避方案，负责并指导其他工程师开展软件产品的测试用例设计；2.能实施、规划软件测试工作，并对软件问题进行跟踪分析和报告，推动测试中发现问题及时合理地解决；3.完成对产品的集成测试与系统测试，对产品的功能、性能及其他方面的测试负责。负责并指导其他测试工程师执行项目测试，包括：构建测试环境、集成测试、回归测试、性能测试等；4.执行软件产品的性能测试和分析，预测系统性能瓶颈，风险和安全隐患；5.编制相关的手册及文档；6.负责对测试方法及测试工具等测试相关内容进行培训。任职要求1、熟悉LoadRunner等性能测试工具，包括脚本、场景执行以及结果采集和分析等；2、熟悉数据库、操作系统的应用过程监控以及监控数据的采集；3、优秀的分析问题和解决问题的能力；4、有一定的网络基础知识；5、有测试团队的管理能力。职能类别：软件测试工程师微信分享
系统软件测试工程师,15000.0,8000.0,西小口路66号东升科技园B-6号楼C座1003,北京-海淀区,本科,"五险一金,周末双休,定期体检,补充医疗保险,绩效奖金,年终奖金,带薪年假,加班补贴,节日福利,专业培训",工作职责：1.负责激光电视/投影产品的Android系统测试任务，包括功能测试、性能、兼容、自动化等相关测试工作；2.参与软件产品的需求分析，根据产品规范和测试需求编写测试计划、测试用例，全面的分析设计各种测试场景；3.实施测试，推动项目进展，跟进缺陷修复；4.编写软件测试报告，测试总结，归档测试用例，实现经验分享；5.在项目中保持和项目经理、开发、产品经理积极有效的沟通，推动问题解决。任职要求：1.计算机及相关专业，本科及以上学历，有4年以上Android智能产品的测试经验；2.具备良好的沟通及语言表达能力，善于团队协作，责任心强；3.能独立承担项目测试工作：测试计划制定、测试方案设计、测试需求分析、测试案例编制、测试执行等工作；4.熟悉Linux系统，熟悉Bash Shell；5.有激光电视、智能投影、智能电视、机顶盒测试相关经验者优先；6.熟练掌握Python、Java等开发语言一种或多种，具备自动化测试用例开发能力者优先；7.熟练使用自动化测试常用工具（如monkeyrunner、appium、selenium等。PS：此岗位为派遣编制（非外包），入职签订正规第三方公司劳动合同，入职全额缴纳五险一金，年度体检、调薪、节假日等福利都一致，介意勿投职能类别：软件测试工程师关键字：软件测试测试测试工程师功能测试性能测试系统测试微信分享
软件测试工程师,15000.0,10000.0,丰滢东路一号,北京-海淀区,本科,"五险一金,补充医疗保险,交通补贴,餐饮补贴,通讯补贴,绩效奖金,年终奖金,专业培训,定期体检",岗位职责 ：1. 参与产品技术的需求评审，分析测试范围、制定测试计划、设计测试用例，编写测试告；    2. 协同开发人员进行软件功能测试，提高软件质量；    3. 在产品开发和项目实施过程中，对发现问题能够快速定位及报告，并在上线后进行跟踪；    4. 参与测试自动化工具、测试框架的开发工作。任职要求： 1.学历要求：本科及以上。    2.专业要求：计算机、软件工程及相关专业。    3.能力要求：    1) 2年及以上软件测试经验；     2) 熟悉软件测试流程；熟练编写和设计测试计划、用例和报告；    3) 熟练使用Jira/Jenkins等缺陷管理工具和持续集成工具；    4) 熟练使用Python、Shell等脚本语言实施自动化测试；    5) 熟练使用Jmeter、Selenium等测试工具进行服务端的功能、性能及自动化测试；    6) 熟练使用Linux操作命令，熟悉Mysql数据库，会编写SQL语句；    7) 具有高度责任心及自我驱动力，具备良好的沟通协作与问题处理能力。职能类别：软件测试工程师关键字：软件测试微信分享
工具研发工程师（软件测试建模）,,,无,北京,本科,无,岗位职责：1）依据设计师提出的需求，设计编码并实现工具2）对设计师开发的模型进行测试和集成3）按照单位研制流程要求，完成研制过程记录、代码版本控制4）其他上级交办的任务任职要求：1）全日制大学本科或以上学历2）三年或以上全职工作经验3）计算机科学与技术、软件工程等专业4）熟练掌握C++、Java等编程语言5）熟练掌握Git/SVN等版本控制工具6）在开源网站参与开源项目者优先7）具备基于模型测试的相关研究和理论基础者优先8）有过嵌入式系统测试经验者优先职能类别：软件工程师关键字：C/C++Java微信分享
软件测试工程师,10000.0,8000.0,西小口路66号东升科技园b2楼一层,北京-海淀区,大专,五险一金,1) 参与产品需求评审、开发设计讨论，依据需求制定产品测试方案和设计测试数据；2) 搭建测试环境、维护测试服务器；3) 完成对产品的集成测试与系统测试，对产品的软件功能、性能及其它方面的测试；4) 详细、准确的描述bug产生的过程，准确地定位并跟踪问题，推动测试中发现的问题得到及时合理地解决；5) 根据客户业务逻辑，提出需求改进建议及操作体验建议。任职资格：1) 计算机相关专业，2年以上工作经验；2) 掌握测试理论和方法，熟悉软件测试相关流程和规范；3) 能独立完成测试数据设计，输出测试方案、测试报告；4) 熟悉B/S软件系统体系结构，熟悉MySQL数据库，熟悉LAMP/LNMP架构；5) 熟悉Linux下优先，熟悉PHP语言优先；6) 具有强烈的团队意识、创新意识和高度的责任心；职能类别：软件测试工程师微信分享
软件测试工程师,15000.0,10000.0,媒体村天畅园5号楼,北京-朝阳区,本科,"五险一金,通讯补贴,定期体检,节日福利,带薪年假,季度绩效奖金,年终绩效奖金,团建活动,出差补贴",职责描述：1.负责系统功能测试以及性能、兼容性、安全等非功能测试，包括测试方案设计、测试用例编写与实施、测试报告编写以及测试问题的分析与解决；2.负责测试方案、案例、报告的评审与审核，评估项目质量与运行风险等测试管理任务，测试工作组织管理；3.负责测试工具、自动化测试框架、测试平台的开发和维护，实现自动化测试，提高测试效率和产品质量。任职要求：1.计算机或相关专业本科及以上学历，3年以上相关工作经验；2.熟悉测试理论知识，掌握常见的缺陷管理工具，熟悉功能测试和性能测试方法，能够熟练应用自动化测试工具和性能测试工具，掌握测试用例设计技巧，能根据软件需求编写测试用例；3.精通一种或多种测试工具，如Selenium、Jmeter、LoadRunner等；4.熟悉java开发语言及分布式开发框架， 熟悉SQL语法和MySQL、Oracle等常见数据库；5.有良好的团队合作精神和较强的沟通能力，极强的责任心，优秀的执行力；6.有自动化测试框架开发经验优先。职能类别：软件测试工程师关键字：软件测试测试测试工程师自动化测试功能测试性能测试微信分享
软件测试工程师,12000.0,8000.0,建国门外大街6号,北京-朝阳区,大专,"年终奖金,五险一金,餐饮补贴,交通补贴,通讯补贴",(1)根据项目需求，编写测试用例；(2)搭建测试环境，执行测试用例并跟踪管理缺陷；(3)编写用户手册及测试报告等相关文档；岗位要求：(1)计算机及相关专业本科以上学历；(2)至少3年以上BS架构软件应用/移动APP应用相关测试经验，熟悉测试工作流程；(3)具备独立根据需求文档、设计文档编写测试计划、测试用例以及测试报告的能力；(4)具备根据测试用例独立完成软件的功能测试，并对测试问题进行报告和跟踪，及时反馈测试结果；(5)思维清晰有条理，具有很强的分析判断能力；(6)热爱软件测试工作，可以胜任重复性工作，能承受较大工作压力；(7)具备良好的沟通和协调能力，工作责任心强，能够在坚持测试原则的情况下，推进测试工作。(8)1-3年项目QA经验，且有银行相关项目经验者优先;(9)参与CMMI认证，熟练掌握并理解CMMI模型.职能类别：性能测试关键字：功能测试性能测试微信分享
软件测试工程师（北京）,20000.0,10000.0,朝阳北路237号,北京-朝阳区,大专,"五险一金,交通补贴,餐饮补贴,绩效奖金,年终奖金",初级工程师：1、具有1年以上保险及相关系统测试经验；2、具备一定的测试知识，熟练使用测试相关工具；3、比较熟悉常用测试工具；4、具有端正的工作态度。中级工程师：1、具有3年以上保险及相关系统测试经验；2年以上保险测试相关经验；2、具备一定的测试知识，熟练使用测试相关工具；3、熟悉SQL语句，熟悉常用测试工具；4、具备较好的需求分析功底、案例设计能力和一定的沟通协调能力。职能类别：软件测试工程师微信分享
