company_name,max_wages,min_wages,place,place2,education,treatment,requirement
iOS开发工程师,20000.0,10000.0,上海市长宁区延安西路728号华敏翰尊大厦17A,上海-长宁区,本科,"带薪年假,五险一金,绩效奖金,节日福利,包住宿,加班补贴,餐饮补贴,高温补贴,年终奖",一、岗位职责：1、负责iOS端原生app的开发和维护、升级和功能迭代工作；2、能积极参与产品分析、策划，并提出建议；3、根据产品需求完成架构和模块设计、编码、测试工作；4、能按照计划，按时提交高质量的代码，完成开发任务；5、按照开发流程编写相应模块的设计文档；6、改善软件的易用性，提升用户使用体验；7、学习和研究新技术以满足产品的需求。二、任职资格：1、计算机及相关专业本科及以上学历。2、至少1-3年左右 iOS 移动终端应用软件开发经验；3、有住宿、公寓行业相关系统开发经验优先。4、熟悉ios平台相关开发、测试及发布流程；5、精通objective-c，深刻理解面向对象思想，熟练开发界面程序；6、精通iOS SDK中的UI、网络、数据库、XMLJSON解析等开发技术；7、熟悉ios平台开发控件使用。职能类别：iOS开发工程师微信分享
IOS开发工程师,25000.0,15000.0,长宁区中山西路1279弄国峰科技大厦10楼,上海,本科,"五险一金,补充医疗保险,员工旅游,餐饮补贴,出国机会,年终奖金,定期体检,弹性工作",1. iOS/macOS上的移动应用软件开发2. 参与、协助产品的设计、实现、集成以及维护3. 应工作实际需要与其他部门协作开发岗位要求：1. 有2~3年以上iPhone或Mac上软件开发经验，熟悉C/C++ Objective-C开发语言2. 能熟练使用Xcode集成开发环境和iOS SDK3. 能熟练使用ffmpeg和x264进行视频编码，录制，熟悉和了解iOS和Mac上面的H264/hevc硬件编码者优先4. 熟悉和了解多线程网络编程者优先5. 学习能力强，思维敏捷，喜欢钻研总结职能类别：iOS开发工程师微信分享
iOS开发工程师,20000.0,10000.0,上海市长宁区天山路310号海益商务大厦12楼,上海,大专,"五险一金,绩效奖金,专业培训,定期体检,补充医疗保险,员工旅游,餐饮补贴,通讯补贴,年终奖金","岗位职责:1. 承担App端关键功能设计开发及构建；2. 优化框架代码和业务代码，优化性能。检查安全性及存在的风险等3. 确保代码质量和工程进度；职位要求1. 计算机相关专业大学专科及以上学历；2. 精通 Objective-C、swift，具备3-5年的 iOS 开发经验；3. 对于 Cocoa 设计模式有所掌握，并运用过其中的一些模式；4. 熟练掌握并灵活运用 Cocoa Framework, 了解流行的第三方开源库；5. 熟悉各UI控件，及控件高度自定义6. 熟悉消息推送7. 对于项目版本管理工具有所了解和掌握；8. 思路清晰，快速的学习能力；9. 工作认真负责，良好的沟通学习能力，逻辑思维能力和团队合作能力。优先条件1. 有视频直播经验2. 具备C/C++开发能力职能类别：iOS开发工程师微信分享"
iOS开发工程师,40000.0,20000.0,世纪大道1568号中建大厦11层,上海-浦东新区,本科,"五险一金,绩效奖金,交通补贴,员工旅游",岗位职责：1、负责项目产品iOS端的技术架构，开发及维护;2、负责项目产品iOS端功能的改进及性能优化;3、编写相应模块的设计文档，独立完成编码及单元测试;岗位要求：1、2年以上实际iOS移动端产品的开发经验，本科学历，211学校计算机相关专业优先；2、具有扎实的Objective-C基础，掌握代理协议、通知和block的使用技巧；3、熟练编写iOS平台自定义UI控件；4、对不同的iOS版本之间的差异有深入了解；5、熟悉网络通讯机制及数据传输协议；6、有良好的面向对象思维能力、编码习惯和工作态度；7、熟悉应用上架发布流程。职能类别：软件工程师iOS开发工程师微信分享
iOS开发工程师,30000.0,18000.0,上海市静安区汶水路40号1号库5栋008A-2室,上海-静安区,大专,无,"职位描述：1. 负责移动端产品的研发,编写高质量的代码；2. 具备良好的沟通能力和产品思维,参与产品需求讨论,功能定义等；3. 设计良好的代码结构,支持不断快速迭代重构，善于解决技术重难点问题，具备一定的技术选型能力；4. 在功能、复杂性和开发时间之间能进行有效的平衡，推动项目快速进展。职位要求：1. 有强烈的求知欲和进取心，具备较强的责任心，与学习能力；2. 计算机或通讯相关专业本科及以上，至少从事移动端相关开发3年及以上；3. iOS 精通 Object-C 或 Swift；4. 有社区、电商开发经验者优先；5. 有 Web 或 Hybird 开发经验者优先。职能类别：iOS开发工程师关键字：iosios开发微信分享"
iOS开发工程师,25000.0,15000.0,金海路1000号金领之都46号,上海-浦东新区,本科,"五险一金,绩效奖金","职责描述：主要负责 AR 眼镜 IOS端 Demo 开发任职要求：1.一年以上 iOS/Android开发经验,能独立完成开发项目；2.深入掌握 Objective-C 语言、Cocoa Frameworks 和 MVVM 设计模式;3.掌握 iOS 内存管理、多线程、底层网络;4 .精通iOS SDK中的UI、动画、网络、多线程、数据存储等;5. 对FFMPEG、VLC、OpenGL、移动端图像处理有研究者优先。职能类别：iOS开发工程师关键字：IOS微信分享"
高级ios开发工程师,25000.0,15000.0,黄浦区四川南路26号,上海,本科,"五险一金,交通补贴,餐饮补贴,专业培训,定期体检,年终奖金,绩效奖金",岗位职责：1、负责iOS客户端的日常开发和维护；2、负责iOS基础组件和模块的开发和维护；3、设计良好的代码结构，清晰的思维和逻辑，主动重构和优化；4、前沿技术研究，主动承担iOS端重难点的技术攻坚。任职资格：1、精通Objective-C语言；3年以上相关工作经验；2、具有良好的工程能力，能够独立解决复杂的问题；3、具有工匠精神，对UI还原度及提测代码有较高的自我要求；4、熟悉Cocoapods，有pods私有库搭建的实战经验；5、熟练掌握常见的数据结构、算法和设计模式，能在实战中合理选择和运用；6、有Jenkins打包经验者优先；7、有小程序、Vue.js相关开发经验者优先；8、有Flutter开发经验者优先。职能类别：iOS开发工程师关键字：ios微信分享
iOS高级开发工程师,30000.0,20000.0,爱特路855号A栋11楼1101室,上海-嘉定区,本科,"五险一金,年终奖金,专业培训,免费班车","岗位职责：1、主要负责 IOS应用程序的设计、优化、工作；2、基于公司APP设计，根据需求，进行IOS版本应用的实现；3、能够较快的解决测试中发现的问题；4、对流畅度要有追求；5、对IOS平台开发技术进行研究，根据开发过程中的体验对产品提出改进建议。6、至少主导开发过一款ios产品 。7、最近有swift项目经验优先。岗位要求：1、精通iOS开发技术，能处理比较复杂的UI、线程、系统调用、网络等方面问题;2、精通多线程和网络编程，掌握基本的框架结构和设计模式，对高性能程序设计、架构有较多的工程经验;3、精通IOS平台自定义控件和动画效果;4、熟悉视频播放;5、熟悉iOS和及常用的framework，熟悉IOS系统运行机理，对内存管理、对象生命周期有清晰的认识;6、有良好的架构设计能力，熟练运用设计模式;7、5年以上开发工作经验，4年以上iOS实际开发经验，有管理经验佳、在GitHub上有代码者, 熟悉ReactiveCocoa者均会加分;8、熟练掌握json数据的解析方法，熟悉HTTP协议，熟练掌握ASIHTTPRequest的使用，熟悉SQLite数据库存储;9、对移动产品有较强的敏感度和热情;10、个性乐观开朗，好奇心强，逻辑思维强，善于团队合作职能类别：高级软件工程师微信分享"
Android/iOS开发工程师,15000.0,10000.0,莘建东路58弄绿地科技岛A座2207室,上海-闵行区,本科,"五险一金,专业培训,绩效奖金,年终奖金,股票期权",负责公司Android或iOS相关产品开发工作；负责进行产品应用商店提审；负责相关产品文档和使用说明文档的编写。岗位要求：计算机相关专业大专及以上学历，2年以上安卓或iOS开发经验；有过视频、直播等SDK对接经验；熟悉Object-C或Java语言；熟悉Android、iOS体系结构，熟悉各组件应用，熟悉Framework开发；熟悉Android Studio、Xcode开发工具，熟练使用相关调试和性能优化工具；熟悉Android ndk-build和cmake指令优先，熟悉JNI开发优先；熟悉Google Play、Apple Appsotre发布流程优先；具备英文文档阅读能力；具备良好的沟通和团队协助能力，主动意识强。职能类别：iOS开发工程师微信分享
iOS开发工程师,15000.0,10000.0,上海市黄浦区瑞金南路1号海兴广场,上海-黄浦区,本科,"弹性工作,绩效奖金,通讯补贴","岗位描述：1. 具有成熟产品开发经验；2. 能独立完成IOS客户端程序的开发要求，根据产品需求开发相关功能；3. 验证和修正测试中发现的问题；岗位要求：1. 熟练掌握Objective-C, Swift ；2. 具有良好的设计能力和编程习惯；3. 两年以上iOS开发经验,能独立开发App和iPad者先；4. 熟练掌握iOS平台下的高性能编程及性能调优；5. 具有较强的分析和解决问题的能力；热爱互联网新技术，了解并探索业界技术动向。加分项：1. 有多媒体应用开发经验，特别是了解流媒体传输协议、视频编解码技术，有过直播类应用开发经验者优先 ；2. 有React Native开发经验；3. 有性能优化项目经验职能类别：移动开发工程师iOS开发工程师微信分享"
