company_name,max_wages,min_wages,place,place2,education,treatment,requirement
Web前端开发工程师,12000.0,8000.0,426号上层建筑A座19楼,成都-金牛区,本科,"周末双休,带薪年假,五险一金,绩效奖金,餐饮补贴,高温补贴,节日福利",1、本科及以上学历，计算机相关专业，专职前端开发3年（实际经验）及以上工作经验；2、熟练使用HTML/CSS/JS等前端技术，熟悉Web前端的性能优化。3、熟练使用Element UI4、具备较好的沟通协调力和理解判断力，有一定的抗压能力，对工作富有激情。5、具备优秀程序员的基本素养，对代码有洁癖，遇到问题可以一查到底，善用工具。6、有大型企业管理软件项目实施和开发经验优先7、具有良好的沟通能力和团队协作精神，有带团队经验优先。岗位职责：1、负责产品前端架构。2、负责web、小程序、公众号等前端页面编写。3、与UI设计师配合完成产品界面开发及美化，与后端工程师密切配合确保接口的有效对接，在工作时间内高效、高质量的完成工作任务。4、协助PM完成完善产品需求，提供完善的技术实现方案。5、不断优化代码，应用前沿技术，不断提高页面性能。职能类别：Web前端开发关键字：web前端微信分享
Web前端开发工程师,15000.0,10000.0,高新区吉泰路666号福年广场T1-802,成都,本科,无,"1．负责WEB前端页面的设计、开发与维护工作；2．负责JS，SVG，Canvas的图形处理；3．负责前端接口的处理；任职要求1．2年以上WEB前端开发经验，熟悉各类浏览器适配,有移动端开发经验优先；2．开发基础扎实，熟悉HTML5、CSS3、JavaScript等Web前端开发技术；3．掌握TypeScript和Vue框架；4．熟悉WebGL，有three.js开发和图形处理经验的优先；5．了解至少一门后端语言（Java/C#/Node.js等）；职能类别：Web前端开发微信分享"
Web前端开发工程师,10000.0,5000.0,天府大道北段1480号1栋A座406,成都-高新区,大专,"五险一金,员工旅游,餐饮补贴,专业培训,绩效奖金,年终奖金","1、负责前端页面框架的设计与实现，前端代码的编写。2、专科以上学历，计算机相关专业，必须1年以上前端开发经验。3、熟练使用Javascript/TypeScript语言，使用Node,Angular等前端开发技术1年以上经验。4、了解k8s/k3s，docker技术。5、能独立完成前端页面的开发，有良好的沟通能力和团队协作精神。职能类别：Web前端开发网页设计师微信分享"
Web前端开发工程师,15000.0,8000.0,府城大道西段399号天府新谷9栋2单元1004室,成都-高新区,本科,"定期体检,员工旅游,带薪年假,零食下午茶,五险",岗位职责：1、主要负责公司自主研发产品的web前端界面、移动端APP界面、PC端跨平台界面的需求、设计、开发、测试、性能调优和运维；2、对现有系统功能模块和代码进行优化，提高代码可用性和健壮性；3、对接后端开发，配合完成需求的开发工作；配合测试，编写测试用例，完成需求的测试工作。岗位要求：1.全日制本科及以上学历学位，计算机、通信、网络安全、软件工程等相关专业；2.具有3年以上web前端软件开发经验，精通electron、react、vue、flutter、Html5、dart、node.js等二种或多种开发实战语言；3.丰富的web开发项目经验、精通electron、react、vue，Html5，有互联网产品、跨平台web界面、APP界面相关开发运维经验者优先；4、有electron、nodejs、websocket、react、react native、flutter、dart、bootstrap4、css3、html5、jquery、vue.js等相关开发运维经验者优先；5、有独立负责需求分析、设计、编码、测试、项目管理等大型分布式系统开发经验者优先；6、学习能力强、自我驱动，良好的沟通能力和团队协作精神，严谨的工作态度与高质量意识；7、有一定UI设计经验。职能类别：Web前端开发关键字：前端开发HTML微信分享
WEB设计制作及前端开发高级工程师,15000.0,10000.0,天府大道北段1700号3栋3单元15层1512号,成都-高新区,本科,无,工作职责：1.负责WEB网站的设计制作及前端开发；2.负责WEB网站的内容更新及性能、速度等优化；3.负责WEB网站相关的宣传册、邮件签名等设计制作；4.负责设计制作及开发相关的文档编写；5.完成公司安排的其他任务；岗位要求：1.本科及以上学历，硕士优先，英文4级及以上；2.有2年以上相关工作经验，擅长UI设计制作者优先考虑；3.掌握HTML5/CSS/JavaScript等各种Web前端技术及标准；4.至少了解一种后端程序语言，如C#、PHP等；5.有较强的学习能力，有责任心，工作投入感强；职能类别：Web前端开发关键字：前端开发HTML5web前端微信分享
Web前端开发工程师,12000.0,9000.0,天府四街长虹科技大厦,成都-武侯区,大专,"五险一金,员工旅游,交通补贴,餐饮补贴,通讯补贴,弹性工作",职位描述：1. 负责平台产品线相应前端开发及维护工作（包括PC端、h5页面），保证前端功能满足需求设计，具有良好的交互体验、加载效率等2. 能独立与后端人员进行功能联调测试，完成项目整体开发工作3. 高质高效完成产品线项目工程搭建及开发工作职位要求：1、精通JavaScript、HTML、CSS等开发前端语言，熟悉ES6语法，具备扎实的前端基础2、熟悉HTTP/HTTPS协议，熟悉Web前后端运行流程，对表现与数据分离深刻理解3、掌握 vue.js开发，熟悉相关框架（element、vant等），有vue开发项目经验职能类别：Web前端开发微信分享
Web前端开发工程师,8000.0,6000.0,交子大道233号金融城中海国际D座804,成都-武侯区,本科,"五险一金,员工旅游,交通补贴,餐饮补贴,年终奖金,绩效奖金",【岗位职责】1、参与公司网页产品的开发，负责产品整体前端框架的搭建；2、负责将设计图转化为页面；3、优化已有项目的前端体验和页面，并保证各种浏览器设备的兼容性和执行效率；4、与后台软件工程师一起探讨制定技术解决方案和接口等；【职位要求】1、计算机相关专业，一年以上传统WEB开发经验2、精通Jquery、Ajax、CSS、HTML5、JavaScript等WEB开发技术，有前端框架的设计能力3、熟悉页面优化，了解各主流浏览器特性，使页面兼容主流浏览器4、注重用户体验、易用性、浏览器端原理以及网站性能等方面的知识，有一定的UI设计技能5、良好的沟通与表达能力，思路清晰，较强的动手能力与逻辑分析能力6、有服务器端语言（NET/JAVA）或WEB7、APP开发经验者优先考虑职能类别：Web前端开发微信分享
web前端开发工程师,14000.0,7000.0,锦悦西路160号孵化园9号楼F座711,成都-高新区,本科,"补充医疗保险,员工旅游,电脑补贴,绩效奖金,年终奖金,五险一金",1、参与项目立项、需求评审、技术设计、开发、单元测试、集成测试、线上维护等环节；2、与产品设计师、服务端工程师合作，实现产品功能的前端界面制作、保证web端的用户体验；3、和团队一起制作完善开发的框架和规范的制定；4、优化复杂页面的逻辑代码组织结构，并封装成公共组件供不同项目进行调用；5、优化页面加载效率，提升页面加载速度，降低网络请求频次及流量。任职要求：1.计算机相关专业，本科及以上学历；2.熟练掌握HTML5，DIV、CSS、JS等页面技术；3.熟悉Jquery、Vue、angularJS、React等前端框架；4.有2年以上大型Web应用前端开发经验；5.有UI设计经验者优先；6.能接受新技术，学习能力强者优先。工作地址：成都市一环路南二段磨子桥新世纪花园东五楼501-511或孵化园9号楼F座711职能类别：Web前端开发微信分享
Web前端开发工程师（五险一金+周末双休）,10000.0,8000.0,成都市锦江区静康路228号沙河中心写字楼B座7楼,成都,本科,"五险一金,周末双休,带薪年假,员工旅游,节日福利,补充医疗保险",1. 负责公司产品的前端开发，完成产品研发相关任务；2. 熟练使用前端技术输出视觉界面，并达到设计要求；3. 负责公司前端框架产品研发，持续优化前端体验和执行效率；4. 参与公司核心产品、项目、系统的前端实现方案；岗位要求：1. 有微信公众号、小程序开发经验；2. 精通 vue 开发，有 2 年以上 vue 相关项目开发经验；3. 熟练掌握 JavaScript、ES6+、nodejs、webpack等技术;4. 精通HTML5、CSS3、JavaScript/ES6等Web前端开发技术； 熟悉页面架构和布局、模块分离设计经验，掌握PC、Android、IOS不同平台的html5页面的适配；5. 前端调试与优化能力强，熟练使用调试开发工具：抓包工具、Chrome调试工具与插件、移动端调试工具、IDE/编辑器插件。6. 具备良好的责任心和创新意识，逻辑思维强，具有优秀的团队沟通与协作能力；公司福利：六险一金、带薪年假、周末双休、团队旅游。职能类别：Web前端开发关键字：前端开发webweb前端开发HTML5H5vue软件开发前端工程师小程序微信分享
web前端开发助理五险双休,6000.0,4500.0,软件园,成都-高新区,大专,无,任职资格：1、20～27岁之间，大专及以上学历；2、计算机或相关专业（理工科为主），接纳优秀生但好学的人才；3、较强的自我约束力和工作责任感；4、对软件开发充满热爱。福利待遇：1、7小时工作制，高效的工作环境和氛围，完善的员工内部制度；2、人性化管理，享受国家规定的带薪年假、各种节假日；3、良好的晋升机制，广阔的晋升空间。职能类别：Web前端开发关键字：前端开发微信分享
Web前端开发工程师,15000.0,10000.0,天府大道,成都-高新区,大专,无,岗位职责：1、负责公司前端产品的开发和优化；2、负责微信小程序，内容运营系统和H5项目的的产品功能迭代和性能优化；3、负责前端框架的设计与建设，公共组件的设计和实现；4、参与构建系统原型以及关键技术的攻关。任职要求：1、计算机相关专业，专科及以上学历；2、3年及以上工作经验，对Web前端工程化与模块化开发具备丰富的经验；3、熟悉掌握Vue，React，Angular等Web前端框架；4、熟练掌握HTML、HTML5、JavaScript，CSS/CSS3等Web标准技术，熟练应用Es6语法；5、能够独立完成项目开发，具有较强的综合分析问题及解决问题的推动能力；6、做事严谨踏实、责任心强，善于思考和总结；7、有较好的沟通能力，有良好的团队合作精神；8、具备敏锐技术前瞻性和专业影响力。职能类别：Web前端开发关键字：前端开发web微信分享
Web前端开发工程师,8000.0,6000.0,成都市望江路1号中海广场1栋10楼6号,成都,大专,"五险一金,补充医疗保险,补充公积金,年终奖金,定期体检,周末双休","岗位职责：1、参与我司技术部各项目的研发工作；2、参与需求沟通的设计与分析；3、负责技术方案的设计和实现；4、负责web前端模块的开发；任职要求：1、2年以上web前端开发工作经验，拥有APP研发经验者优先；2、 精通HTML5、CSS、DIV、JavaScript 等Web前端开发技术，理解页面架构和布局；3、熟悉Ajax、DOM、XML、JSON等相关技术4、熟悉一种常见JS开发框架，例如JQuery、JQuery Mobile、VUE、BootStrap等；5、负责WEB前端设计、开发、调试和维护、负责用web标准规范页面代码，优化页面，提高用户体验6、处理网页、脚本在不同浏览器下差异,解决过h5页面在移动平台兼容问题（包括机种兼容问题）职能类别：Web前端开发微信分享"
