company_name,max_wages,min_wages,place,place2,education,treatment,requirement
软件开发工程师（ios） (职位编号：001263),30000.0,15000.0,顺城大街四川国际大厦,成都-青羊区,本科,无,岗位职责:1、参与移动应用软件的需求分析、业务研讨，参与移动应用软件的技术、安全、部署、测试方案的设计，参与移动应用软件的功能详细设计；2、与服务器端工程师、UI设计师配合，制定接口方案与视觉展示方案；3、根据功能需求与展示需求，承担移动应用的代码开发、服务端/移动端联合调试、移动端代码测试与优化等工作；4、参与移动端相关文档的编制；5、参与公司移动应用基础框架的构建和持续优化任务；6、持续跟踪移动端前沿技术的发展趋势，及时进行技术方案的建议。职能类别：软件工程师微信分享
iOS开发工程师,15000.0,10000.0,锦江区三色路163号银海芯座A座,成都-锦江区,大专,"五险一金,交通补贴,餐饮补贴,定期体检,弹性工作,年终奖金","1、协助处理系统IOS代码开发，性能、用户体验优化和维护，解决项目中遇到的问题； 2、研究项目中IOS解决方案，并进行相关技术的预研以及攻关； 3、协助项目经理分析业务需求，提供建议技术解决方案 4、按时保质完成项目经理分配的任务技能要求： 1、良好的编程风格，扎实的编程和数据结构算法基础；深入理解面向对象编程思想，具有较强的设计能力； 2、深入理解iOS SDK，具有丰富的 Objective-C 及 C/C++ 开发经验；精通各种UI控件，能够实现复杂的界面交互； 3、熟练掌握iOS平台下的高性能编程及性能调优； 4、关注iOS的新技术、新趋势,主动性强愿意自学提高自身技术水平； 学历专业要求： 1本科以上学历，工科、计算机或其他相关专业，3年以上相关工作经验； 综合素质要求： 1.具有良好学习能力、分析能力和解决问题的能力； 2.有强烈的责任心和团队精神，善于沟通和合作； 3.热爱互联网新技术，了解并探索业界技术动向；职能类别：iOS开发工程师关键字：iosios开发微信分享"
iOS开发工程师,15000.0,10000.0,来福士广场,成都,大专,"五险一金,弹性工作,绩效奖金,年终奖金,交通补贴",-3-5年移动软件开发经验。拥有多个平台的经验是很好的。-精通快速，客观C和可可触摸。-熟悉iOS框架，如GameplayKit、SpriteKit、UIKit、核心数据、核心动画、核心图形和核心文本。-了解如何实现和管理基于Web的服务和第三方API。-舒适地使用遗留框架/代码库。-精通代码版本控制工具。***是Git。-已经在苹果应用商店或谷歌Play上构建和发布的应用程序（或SDK）组合。职能类别：iOS开发工程师关键字：软件开发ios微信分享
IOS开发工程师,15000.0,10000.0,天府新谷10号楼（成都市高新区府城大道西段399号）,成都-高新区,本科,"五险一金,定期体检,年终奖金,专业培训,周末双休,股权激励","岗位职责：1、完成软件系统代码的实现，编写代码注释和开发文档；2、辅助进行系统的功能定义,程序设计；3、根据设计文档或需求说明完成代码编写，调试，测试和维护；4、分析并解决软件开发过程中的问题；5、协助测试工程师制定测试计划，定位发现的问题；6、配合项目经理完成相关任务目标。任职资格：1、本科及以上学历，计算机或相关专业；2、3年及以上IOS开发工作经验，熟悉 Objective-C、swift语言中的一种及以上；3、在APP Store有应用发布者优先。或实际开发商业应用作品者优先录用；4、熟悉面向对象思想，精通编程，调试和相关技术；5、熟悉应用服务器的安装、调试、配置及使用；6、具备需求分析和系统设计能力，以及较强的逻辑分析和独立解决问题能力；7、能熟练阅读中文、英文技术文档，富有团队精神,责任感和沟通能力。工作地址：天府新谷10号楼（成都市高新区府城大道西段399号）职能类别：iOS开发工程师微信分享"
iOS开发工程师,10000.0,8000.0,博雅城市广场-C座511室,成都-双流区,本科,"五险一金,年终奖金,周末双休,节假日福利,早九晚六",岗位职责：1、根据产品功能需求设计及开发进度计划进行需求分析，研讨技术实现方案；2、高质量完成编码工作，确保代码和架构的质量，具有高可维护性；3、根据开发过程中的体验对产品进行技术评估，提出改进建议；4、改善app软件测试中发现的问题，提升用户使用体验；5、跟进iOS的新技术发展，编码开发及实现；6、良好的编码习惯，代码可读性高，健壮性强。任职要求：1、至少2-3年iOS开发经验，至少参与或独立开发过两款APP并已上架；2、有扎实的ObjectiveC和Cocoa Touch语言基础，深入理解面向对象的设计模式；3、精通iOS开发平台及框架原理 精通iOS UI系统控件及自定义控件，熟悉TCPIP、HTTP协议，SQLite数据库；4、熟练使用Xcode等开发工具，熟练使用各种调试工具；5、熟悉AutoLayout，能熟练的对各种屏幕尺寸和各个系统版本进行适配；6、熟悉iOS软件性能优化，对数据结构、基本算法熟练掌握，有独立解决复杂问题的能力；7、负责iOS手机软件的设计，开发工作，对开发设计流程有清晰的思路；8、具有良好的工作态度、沟通技巧和团队协作精神，能适应高强度和高压力的工作节奏；9、有混合开发经验者优先。职能类别：iOS开发工程师关键字：ios软件开发软件工程师微信分享
iOS开发工程师,11000.0,8000.0,青羊区清江东路55号电信大楼 2楼,成都-青羊区,大专,"五险一金,员工旅游,交通补贴,通讯补贴,绩效奖金,年终奖金,定期体检,奖金提成",岗位要求：1、具备独立上架app能力2、熟悉runtime底层能力3、熟悉iPhone / iPad应用开发流程，熟悉iOS常用三方SDK;4、具备扎实的OC基础，熟悉常用的SDK;5、具有良好的OOP编程思想，熟悉常用的算法、数据结构及设计模式;6、逻辑思维能力强，思路清晰，有上进心;7、工作踏实认真，有较强的负责心，良好的沟通能力和团队合作精神。职能类别：iOS开发工程师微信分享
iOS开发工程师,11000.0,8000.0,成都市金牛区蜀西路48号西城国际8栋2号,成都,本科,无,1、两年以上iOS产品研发经验，本科以上学历;2、熟练掌握Objective-C;3、熟练使用Xcode开发工具，熟悉IOS UI开发、 SDK封装;4、熟悉AVFoundation、AudioToolbox、VideoToolbox者优先5、对c/c++有一定了解者为优;职能类别：软件工程师高级软件工程师关键字：IOS开发C++C微信分享
IOS开发工程师,15000.0,10000.0,理工大学,大连-高新园区,本科,无,有日本出差，日语水平必需。日语能力N2以上，能看懂日文式样书。1.计算机相关专业本科或以上学历，3年及以上IOS客户端产品研发经验;2.熟悉iOS软件的开发、测试、分发流程、AppStore上线流程;3.熟练使用 Objective-C，深刻理解Objective-C的运行机制，熟练掌握Xcode 等相关开发工具;4.代码风格规范，具有模块化思想，熟练使用各种设计模式;5.理解OOP，有较强的组织代码结构能力; 6.熟练使用 SVN、GIT 代码管理工具;7根据产品功能模块设计，编写可复用的功能组件实现需求，并确保开发质量8.团队意识强，有敬业精神，善于沟通，具有独立分析问题和解决问题，能适应较大的工作压力;职能类别：iOS开发工程师微信分享
iOS开发工程师,17000.0,12000.0,中国黄金珠宝中心3栋601-1,成都-金牛区,大专,"五险一金,绩效奖金,年终奖金,员工旅游,定期体检",职位描述：1、负责IOS产品开发、用户体验优化和产品维护；2、 根据上级安排的开发进度和任务分配，完成相应模块软件的设计、开发和单元测试任务；3、负责开发过程中相关设计文档和技术规范文档的编写；任职要求：1. 计算机及相关专业，国家统招本科及以上学历；2. 熟悉IOS系统架构及相关技术，熟悉Objective-C 开发。2年以上实际IOS开发经验，有独立或者作为团队主力完成手机APP开发经验；3. 熟练掌握IOS各类组件的使用方法，熟悉IOS的UI绘制、后台服务、消息机制和数据存储的实现方式；4.有使用微信支付宝支付、第三方登录以及即时聊天环信融云的开发经验优先考虑；5.能够适应加班节奏，抗压能力强。具有良好的言语表达能力，善于与人沟通、合作，有良好的团队意识及工作责任心。职能类别：iOS开发工程师微信分享
ios开发工程师,12000.0,6000.0,天府新谷7号楼1109室,成都-天府新区,大专,"五险一金,定期体检,节日福利,员工旅游,周末双休",岗位职责：1、参与项目的需求分析、设计、编码，撰写相关技术文档；2、参与项目的测试、系统交付工作，对项目实施提供支持；3、参与方案讨论和技术调研。任职要求：1. 大学专科以上学历，计算机或相关专业，2年以上开发经验；2. 熟悉各种UI组件和第三方库，熟悉iOS网络编程；3. 具备良好的编程和设计能力；4. 了解APP上架流程，能独立完成 安卓/苹果 打包/提审/上架工作;5. 能适配各种iphone设备的屏幕尺寸，保证程序UI的高还原度，对各个iphone系统版本特性熟悉。职能类别：iOS开发工程师微信分享
